!Clamp R On && ! Active eCall On && !RST	!Clamp R включен && ! Active eCall включен && !RST
% Tastverhaeltnis	% Скважность
% Tastverhältnis	% Скважность
AKS aufgrund SW	AKS из-за SW
AKS nicht aktiv	AKS не активен
AKTIV = bestromt, d. h. TAV geschlossen	АКТИВНО = под током, т.е. TAV закрыт
AKTIV = bestromt, d.h. AIV-FTIV geoeffnet	АКТИВНО = под током, т.е. AIV-FTIV открыт
AKTIV = bestromt, d.h. TAV geschlossen	АКТИВНО = под током, т.е. TAV закрыт
AKTIV in Polarität entriegelt	АКТИВНО в полярности "разблокировано"
AKTIV in Polarität verriegelt	АКТИВНО в полярности "заблокировано"
AKTIV mit Polarität Entriegeln	АКТИВНО с полярностью "разблокировка"
AKTIV mit Polarität Verriegeln	АКТИВНО с полярностью "блокировка"
AL Initmode aktiviert	Режим инициализации AL активирован
AL Initmode deaktiviert	Режим инициализации AL деактивирован
ALC meldet Fehler an Lichtschaltzentrum	ALC сообщает об ошибке в центр управления светом
ALEV1 BIS Stereo_Basis	ALEV1 BIS Stereo_Basis
ALEV1 Stereo	ALEV1 Stereo
ALEV2 BIS	ALEV2 BIS
ALEV2 HiFi	ALEV2 HiFi
ALEV3 Top-HiFi	ALEV3 Top-HiFi
ALEV4 High-End-Audio	ALEV4 High-End-Audio
ALLE AUSGANGSGRÖSSEN	ВСЕ ВЫХОДНЫЕ ВЕЛИЧИНЫ
ALN - Data Address Alignment	ALN - выравнивание адреса данных
AL_L + AL_R ein	AL_L + AL_R вкл
AL_L + AL_R ein + Limphome Global SIF angefordert	AL_L + AL_R вкл + запрошен Limphome Global SIF
AL_L + AL_R ein + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L + AL_R ein + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome entprellt SIF
AL_L + AL_R ein + Limphome intern SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF
AL_L + AL_R ein + Limphome intern SIF angefordert + Limphome Global SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome Global SIF
AL_L + AL_R ein + Limphome intern SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L + AL_R ein + Limphome intern SIF angefordert + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome entprellt SIF
AL_L + AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF
AL_L + AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome Global SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome Global SIF
AL_L + AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L + AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome entprellt SIF
AL_L + AL_R ein + Limphome lokal SIF angefordert	AL_L + AL_R вкл + запрошен Limphome lokal SIF
AL_L + AL_R ein + Limphome lokal SIF angefordert + Limphome Global SIF angefordert	AL_L + AL_R вкл + запрошен Limphome lokal SIF + запрошен Limphome Global SIF
AL_L + AL_R ein + Limphome lokal SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome lokal SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L + AL_R ein + Limphome lokal SIF angefordert + Limphome entprellt SIF angefordert	AL_L + AL_R вкл + запрошен Limphome lokal SIF + запрошен Limphome entprellt SIF
AL_L ein	AL_L вкл
AL_L ein + Limphome Global SIF angefordert	AL_L вкл + запрошен Limphome Global SIF
AL_L ein + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L ein + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome entprellt SIF
AL_L ein + Limphome intern SIF angefordert	AL_L вкл + запрошен Limphome intern SIF
AL_L ein + Limphome intern SIF angefordert + Limphome Global SIF angefordert	AL_L вкл + запрошен Limphome intern SIF + запрошен Limphome Global SIF
AL_L ein + Limphome intern SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome intern SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L ein + Limphome intern SIF angefordert + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome intern SIF + запрошен Limphome entprellt SIF
AL_L ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert	AL_L вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF
AL_L ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome Global SIF angefordert	AL_L вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome Global SIF
AL_L ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome entprellt SIF
AL_L ein + Limphome lokal SIF angefordert	AL_L вкл + запрошен Limphome lokal SIF
AL_L ein + Limphome lokal SIF angefordert + Limphome Global SIF angefordert	AL_L вкл + запрошен Limphome lokal SIF + запрошен Limphome Global SIF
AL_L ein + Limphome lokal SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome lokal SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_L ein + Limphome lokal SIF angefordert + Limphome entprellt SIF angefordert	AL_L вкл + запрошен Limphome lokal SIF + запрошен Limphome entprellt SIF
AL_R ein	AL_R вкл
AL_R ein + Limphome Global SIF angefordert	AL_R вкл + запрошен Limphome Global SIF
AL_R ein + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_R ein + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome entprellt SIF
AL_R ein + Limphome intern SIF angefordert	AL_R вкл + запрошен Limphome intern SIF
AL_R ein + Limphome intern SIF angefordert + Limphome Global SIF angefordert	AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome Global SIF
AL_R ein + Limphome intern SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_R ein + Limphome intern SIF angefordert + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome entprellt SIF
AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert	AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF
AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome Global SIF angefordert	AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome Global SIF
AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_R ein + Limphome intern SIF angefordert + Limphome lokal SIF angefordert + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome intern SIF + запрошен Limphome lokal SIF + запрошен Limphome entprellt SIF
AL_R ein + Limphome lokal SIF angefordert	AL_R вкл + запрошен Limphome lokal SIF
AL_R ein + Limphome lokal SIF angefordert + Limphome Global SIF angefordert	AL_R вкл + запрошен Limphome lokal SIF + запрошен Limphome Global SIF
AL_R ein + Limphome lokal SIF angefordert + Limphome Global SIF angefordert + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome lokal SIF + запрошен Limphome Global SIF + запрошен Limphome entprellt SIF
AL_R ein + Limphome lokal SIF angefordert + Limphome entprellt SIF angefordert	AL_R вкл + запрошен Limphome lokal SIF + запрошен Limphome entprellt SIF
AM hörbar: aktuell eingestellte AM-Frequenz  FM hörbar: aktuell eingestellte FM-Frequenz  DAB hörbar: aktuell eingestellte DAB-Frequenz	AM слышен: текущая установленная частота AM  FM слышен: текущая установленная частота FM  DAB слышен: текущая установленная частота DAB
AM/FM Antenne	Антенна AM/FM
AM/FM Antenne (FM1/AM Phasendiversity)	Антенна AM/FM (FM1/AM Phasendiversity)
AM/FM Antenne und DAB BAND III Antenne	Антенна AM/FM и антенна DAB BAND III
AM/FM Antenne und DAB L-BAND Antenne	Антенна AM/FM и антенна DAB L-BAND
AM/FM Antenne und GPS Antenne	Антенна AM/FM и антенна GPS
AM/FM Antenne und VICS Beacon Antenne	Антенна AM/FM и антенна VICS Beacon
AM/FM Antenne und VICS FM Antenne	Антенна AM/FM и антенна VICS FM
AM/FM Antenne, DAB BAND III Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна DAB BAND III и антенна VICS Beacon
AM/FM Antenne, DAB BAND III Antenne und VICS FM Antenne	Антенна AM/FM, антенна DAB BAND III и антенна VICS FM
AM/FM Antenne, DAB BAND III Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна DAB BAND III, антенна VICS FM и антенна VICS Beacon
AM/FM Antenne, DAB L-BAND Antenne und DAB BAND III Antenne	Антенна AM/FM, антенна DAB L-BAND и антенна DAB BAND III
AM/FM Antenne, DAB L-BAND Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна DAB L-BAND и антенна VICS Beacon
AM/FM Antenne, DAB L-BAND Antenne und VICS FM Antenne	Антенна AM/FM, антенна DAB L-BAND и антенна VICS FM
AM/FM Antenne, DAB L-BAND Antenne, DAB BAND III Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна DAB L-BAND, антенна DAB BAND III и антенна VICS Beacon
AM/FM Antenne, DAB L-BAND Antenne, DAB BAND III Antenne und VICS FM Antenne	Антенна AM/FM, антенна DAB L-BAND, антенна DAB BAND III и антенна VICS FM
AM/FM Antenne, DAB L-BAND Antenne, DAB BAND III Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна DAB L-BAND, антенна DAB BAND III, антенна VICS FM и антенна VICS Beacon
AM/FM Antenne, DAB L-BAND Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна DAB L-BAND, антенна VICS FM и антенна VICS Beacon
AM/FM Antenne, GPS Antenne und DAB BAND III Antenne	Антенна AM/FM, антенна GPS и антенна DAB BAND III
AM/FM Antenne, GPS Antenne und DAB L-BAND Antenne	Антенна AM/FM, антенна GPS и антенна DAB L-BAND
AM/FM Antenne, GPS Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS и антенна VICS Beacon
AM/FM Antenne, GPS Antenne und VICS FM Antenne	Антенна AM/FM, антенна GPS и антенна VICS FM
AM/FM Antenne, GPS Antenne, DAB BAND III Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS, антенна DAB BAND III и антенна VICS Beacon
AM/FM Antenne, GPS Antenne, DAB BAND III Antenne und VICS FM Antenne	Антенна AM/FM, антенна GPS, антенна DAB BAND III и антенна VICS FM
AM/FM Antenne, GPS Antenne, DAB BAND III Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS, антенна DAB BAND III, антенна VICS FM и антенна VICS Beacon
AM/FM Antenne, GPS Antenne, DAB L-BAND Antenne und DAB BAND III Antenne	Антенна AM/FM, антенна GPS, антенна DAB L-BAND и антенна DAB BAND III
AM/FM Antenne, GPS Antenne, DAB L-BAND Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS, антенна DAB L-BAND и антенна VICS Beacon
AM/FM Antenne, GPS Antenne, DAB L-BAND Antenne und VICS FM Antenne	Антенна AM/FM, антенна GPS, антенна DAB L-BAND и антенна VICS FM
AM/FM Antenne, GPS Antenne, DAB L-BAND Antenne, DAB BAND III Antenne und	Антенна AM/FM, антенна GPS, антенна DAB L-BAND, антенна DAB BAND III и
AM/FM Antenne, GPS Antenne, DAB L-BAND Antenne, DAB BAND III Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS, антенна DAB L-BAND, антенна DAB BAND III и антенна VICS Beacon
AM/FM Antenne, GPS Antenne, DAB L-BAND Antenne, DAB BAND III Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS, антенна DAB L-BAND, антенна DAB BAND III, антенна VICS FM и антенна VICS Beacon
AM/FM Antenne, GPS Antenne, DAB L-BAND Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS, антенна DAB L-BAND, антенна VICS FM и антенна VICS Beacon
AM/FM Antenne, GPS Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна GPS, антенна VICS FM и антенна VICS Beacon
AM/FM Antenne, VICS FM Antenne und VICS Beacon Antenne	Антенна AM/FM, антенна VICS FM и антенна VICS Beacon
AM/FM Antennen	Антенны AM/FM
AM/FM Tuner	AM/FM тюнер
AM/FM Tuner=0x40	AM/FM тюнер=0x40
AMC (AEG Mobile Com.)	AMC (AEG Mobile Com.)
AMFM-TapePlayer/KHL = 0x61	AMFM-плеер/KHL = 0x61
AMFM-TapePlayer/KHR = 0x62	AMFM-плеер/KHR = 0x62
AMFM-TapePlayer/LS = 0x60	AMFM-плеер/LS = 0x60
AMP     (Top-Hifi Verstaerker)	AMP     (Топ-Hi-Fi усилитель)
AMP    (Top-Hifi Verstärker)	AMP    (Топ-Hi-Fi усилитель)
AMP (Top Hi-Fi Audioverstärker): InstID = 0x37	AMP (Топ Hi-Fi аудиоусилитель): InstID = 0x37
ANFORDERUNGRICHTIG EMPFANGEN - ANTWORT IN BEARBEITUNG	ЗАПРОС ПРИНЯТ ПРАВИЛЬНО - ОТВЕТ В ОБРАБОТКЕ
ANSTEUERUNG PARKSPERRE AUS/EIN	УПРАВЛЕНИЕ БЛОКИРАТОРОМ ПАРКОВКИ ВЫКЛ/ВКЛ
ANZAHL DER VERSUCHE ÜBERSCHRITTEN	ПРЕВЫШЕНО КОЛИЧЕСТВО ПОПЫТОК
ANZEIGE CC MELDUNG	ИНДИКАЦИЯ СООБЩЕНИЯ CC
ANZEIGE GAENGE	ИНДИКАЦИЯ ПЕРЕДАЧ
ANZEIGE WAHLHEBELSCHEMA	ИНДИКАЦИЯ СХЕМЫ СЕЛЕКТОРА
ANZEIGEQUERFRNGLENKRADSYMBOL_AKTIV (grün)	СИМВОЛ ПОПЕРЕЧНОГО ДИСТАНЦИОННОГО УПРАВЛЕНИЯ РУЛЕМ_АКТИВЕН (зелёный)
ANZEIGEQUERFRNGLENKRADSYMBOL_AUS (grau)	СИМВОЛ ПОПЕРЕЧНОГО ДИСТАНЦИОННОГО УПРАВЛЕНИЯ РУЛЕМ_ВЫКЛ (серый)
ANZEIGEQUERFRNGLENKRADSYMBOL_DEGRADIERT (gelb)	СИМВОЛ ПОПЕРЕЧНОГО ДИСТАНЦИОННОГО УПРАВЛЕНИЯ РУЛЕМ_ОГРАНИЧЕН (жёлтый)
ANZEIGEQUERFRNGLENKRADSYMBOL_NICHT_VERFUEGBAR (grau)	СИМВОЛ ПОПЕРЕЧНОГО ДИСТАНЦИОННОГО УПРАВЛЕНИЯ РУЛЕМ_НЕДОСТУПЕН (серый)
ANZEIGEQUERFRNGLENKRADSYMBOL_WARNUNG (rot)	СИМВОЛ ПОПЕРЕЧНОГО ДИСТАНЦИОННОГО УПРАВЛЕНИЯ РУЛЕМ_ПРЕДУПРЕЖДЕНИЕ (красный)
AP unavailable	AP недоступен
APIX APIX-Switch	APIX APIX-переключатель
APIX Verbindung HU zum CID	Соединение APIX HU с CID
APIX/LIN Verbindung HU zum CID zum ZIN	Соединение APIX/LIN HU с CID с ZIN
APP POST RUN	APP POST RUN
APP RUN	APP RUN
APU aktiv	APU активен
ARCNET Verbindung: Kein anderer ARCNET Knoten gefunden	Соединение ARCNET: другой узел ARCNET не найден
ARCNET-Fehler, keine Kommunikation mit NAV moeglich	Ошибка ARCNET, связь с навигацией невозможна
ARD Zustand-Bits der aktiven Ruckeldaempfung	Биты состояния активного демпфирования рывков ARD
ARGUMENT FEHLERHAFT	АРГУМЕНТ НЕВЕРНЫЙ
ARM mode entered	Вход в режим ARM
ARS Eigendiagnose	Самодиагностика ARS
ARS Inbetriebnahme	Ввод в эксплуатацию ARS
ARS Proportionalventile - Werte und Zustände	Пропорциональные клапаны ARS - значения и состояния
ARS Schaltventile - Werte und Zustände	Переключающие клапаны ARS - значения и состояния
ARS Sensorik - Werte und Zustände Schaltstellungssensor	Сенсорика ARS - значения и состояния датчика положения переключения
ARS Sensorik - Werte und Zustände Ölstandsensor	Сенсорика ARS - значения и состояния датчика уровня масла
ARS Status-Message	Статусное сообщение ARS
ARS nicht freigegeben	ARS не разрешён
ARS-Stabilisierungsmoment zu gross	Стабилизирующий момент ARS слишком большой
ASC - Signal Eingriff zu lang	ASC - сигнал вмешательства слишком долгий
ASC / MSR   Signalkombination unplausibel	Комбинация сигналов ASC / MSR неправдоподобна
ASC CAN i.O.	ASC CAN исправен
ASC ECU empfaengt LWS CAN Botschaft	Блок ASC принимает CAN-сообщение датчика угла поворота руля
ASC Lampe	Лампа ASC
ASC Momenteneingriff	Вмешательство ASC по моменту
ASC Regelung	Регулирование ASC
ASC Sonderventil 1	Специальный клапан ASC 1
ASC Taster	Кнопка ASC
ASC, DTC	ASC, DTC
ASC-Regelung (AMR)	Регулирование ASC (AMR)
ASC-Regelung (BMR)	Регулирование ASC (BMR)
ASC/DSC CAN Timeout	Тайм-аут CAN ASC/DSC
ASC/DSC_aktiv (Tasterfunktion)	ASC/DSC активен (функция кнопки)
ASCET Bypass Schnittstellenfehler	Ошибка интерфейса обхода ASCET
ASD außen	ASD снаружи
ASD disturbance compensator torque output	Выходной момент компенсатора возмущений ASD
ASD innen	ASD внутри
ASD-Signale außen	Сигналы ASD снаружи
ASD-Signale innen	Сигналы ASD внутри
ASIL-Anteil meldet Fehler, siehe Netzwerk DTC	Часть ASIL сообщает об ошибке, см. сетевой DTC
ASK     (Audio-System-Kontroller)	ASK     (контроллер аудиосистемы)
ASK    (Audio-System-Kontroller)	ASK    (контроллер аудиосистемы)
ASK (Audio System Krontoller): InstID = 0x3F	ASK (контроллер аудиосистемы): InstID = 0x3F
ASR - Eingriff	Вмешательство ASR
ASR - Eingriff mit Ausblendung	Вмешательство ASR с маскированием
ASYN_ON - Zündung an und  asynchrone Kurbelwellenrotation	ASYN_ON - зажигание включено и асинхронное вращение коленвала
ATC Diagnose mit 12-Spur Messung	Диагностика ATC с измерением по 12 дорожкам
ATC Diagnose mit Jitter Messung	Диагностика ATC с измерением джиттера
ATC Messmethode	Метод измерения ATC
ATC Pausiert	ATC приостановлен
ATC Pausiert (Busfehler)	ATC приостановлен (ошибка шины)
ATC aktiv	ATC активен
ATC aus (pause)	ATC выкл (пауза)
ATC diagnosis with jitter measurement	Диагностика ATC с измерением джиттера
ATC diagnosis with track 12 measurement	Диагностика ATC с измерением по 12 дорожкам
ATC ein	ATC вкл
ATC pausiert (LowLight)	ATC приостановлен (LowLight)
ATC pausiert (RCP)	ATC приостановлен (RCP)
ATC pausiert (by Coding)	ATC приостановлен (по кодированию)
AU ein	AU вкл
AUC Heizung	Подогрев AUC
AUC Sensor	Датчик AUC
AUC Sensor PWM                         .PIN 17, PORT P0.12	Датчик AUC ШИМ                         .PIN 17, PORT P0.12
AUC Sensor aktiv                    .PIN 1,PORT P6.0	Датчик AUC активен                    .PIN 1,PORT P6.0
AUC-Sensor: 0 = nicht vorhanden; 1 = vorhanden	Датчик AUC: 0 = отсутствует; 1 = присутствует
AUS  Störungsnachlauf-Gemeldet	ВЫКЛ  сообщено дотягивание при неисправности
AUS - Heizgeräteverriege-lung	ВЫКЛ - блокировка отопителя
AUTHTYPE_CL_AUTH - ZV-Authentisierung mit Chall/Resp	AUTHTYPE_CL_AUTH - аутентификация ЦЗ с Chall/Resp
AUTHTYPE_EWS_AUTH - Authentisierung über EWS	AUTHTYPE_EWS_AUTH - аутентификация через EWS
AUTHTYPE_INVALID - Ungültig	AUTHTYPE_INVALID - недействителен
AUTHTYPE_INVALID ¿ Ungültig	AUTHTYPE_INVALID ¿ недействителен
AUTHTYPE_NO_AUTH - IDG-Suche ohne Authentisierung	AUTHTYPE_NO_AUTH - поиск IDG без аутентификации
AUTHTYPE_PING - IDG-Suche ohne Keyposition und ohne Authentisierung (nur AC)	AUTHTYPE_PING - поиск IDG без положения ключа и без аутентификации (только AC)
AUTH_PATH_CA - Schlüsselsuche nur über CA (HFM-Suche)	AUTH_PATH_CA - поиск ключа только через CA (поиск HFM)
AUTH_PATH_CA_NFC - Schlüsselsuche über CA u. NFC	AUTH_PATH_CA_NFC - поиск ключа через CA и NFC
AUTH_PATH_CA_TR - Schlüsselsuche über CA u. Transponder	AUTH_PATH_CA_TR - поиск ключа через CA и транспондер
AUTH_PATH_CA_TR_NFC - Schlüsselsuche über CA u. induktive Pfade TR u. NFC	AUTH_PATH_CA_TR_NFC - поиск ключа через CA и индуктивные пути TR и NFC
AUTH_PATH_INVALID - Ungültig	AUTH_PATH_INVALID - недействителен
AUTH_PATH_NFC - Schlüsselsuche über induktive Kopplung (NFC)	AUTH_PATH_NFC - поиск ключа через индуктивную связь (NFC)
AUTH_PATH_OTHER - Schlüsselsuche über sonstige Pfade (unscharf z.B. Teleservice/CarSharing)	AUTH_PATH_OTHER - поиск ключа по прочим путям (нечёткий, напр. Teleservice/CarSharing)
AUTH_PATH_RESERVED - reserviert	AUTH_PATH_RESERVED - зарезервировано
AUTH_PATH_TR - Schlüsselsuche über induktive Kopplung (Transponderspule)	AUTH_PATH_TR - поиск ключа через индуктивную связь (катушка транспондера)
AUTH_PATH_TR_NFC - Schlüsselsuche nur über induktive Kopplung (Transponderspule, NFC)	AUTH_PATH_TR_NFC - поиск ключа только через индуктивную связь (катушка транспондера, NFC)
AUTH_PATH_TR_NFC - Schlüsselsuche über induktive Pfade TR u. NFC	AUTH_PATH_TR_NFC - поиск ключа через индуктивные пути TR и NFC
AUTOMOTIVE LIGHTING	AUTOMOTIVE LIGHTING
AUTOMOVE_CMD_FAIL : Automatic-Kommando abgelehnt; Bedienkonzept Error	AUTOMOVE_CMD_FAIL : команда Automatic отклонена; ошибка концепции управления
AUTO_COND_LOST (Brose)	AUTO_COND_LOST (Brose)
AUTO_COND_LOST (Conti)	AUTO_COND_LOST (Conti)
AUTO_COND_LOST : Wegfall Automatikfreigabe (Brose)	AUTO_COND_LOST : пропадание разрешения автоматики (Brose)
AUTO_COND_LOST: Wegfall Automatikfreigabe (Conti)	AUTO_COND_LOST: пропадание разрешения автоматики (Conti)
AUT_STOP - Automatikstopp	AUT_STOP - автоматическая остановка
AUX IN intern oder extern	AUX IN внутренний или внешний
AUX IN internal or external	AUX IN внутренний или внешний
AUX Input	Вход AUX
AUX analog/KHL = 0x81	AUX аналоговый/KHL = 0x81
AUX analog/KHR = 0x82	AUX аналоговый/KHR = 0x82
AUX analog/LS = 0x80	AUX аналоговый/LS = 0x80
AUX off	AUX выкл
AUX off / Autoswitch to AUX by TelMute Pin off	AUX выкл / автопереключение на AUX по выводу TelMute выкл
AUX on / Autoswitch to AUX by TelMute Pin off	AUX вкл / автопереключение на AUX по выводу TelMute выкл
AUX on / Autoswitch to AUX by TelMute Pin on	AUX вкл / автопереключение на AUX по выводу TelMute вкл
AUX on / Telmute off	AUX вкл / Telmute выкл
AUX on / Telmute on	AUX вкл / Telmute вкл
AUX1 (auxilary video input port)	AUX1 (вспомогательный видеовход)
AUX2 (auxilary video port - integrated RSE)	AUX2 (вспомогательный видеопорт - встроенный RSE)
AUX3 (auxilary video port - integrated RSE - right screen)	AUX3 (вспомогательный видеопорт - встроенный RSE - правый экран)
AUX4 (auxiliary video input port)	AUX4 (вспомогательный видеовход)
AUXonMOST/KHL = 0x78	AUXonMOST/KHL = 0x78
AUXonMOST/KHR = 0x79	AUXonMOST/KHR = 0x79
AUXonMOST/LS = 0x77	AUXonMOST/LS = 0x77
AVANOS 2 Ist	AVANOS 2 фактическое значение
AVANOS 2 Soll	AVANOS 2 заданное значение
AVL_BRTORQ_SUM_DVCH (0x7536. 0x8002)	AVL_BRTORQ_SUM_DVCH (0x7536. 0x8002)
AVS: Aktueller Tankfüllstand (UDC_UTnkLvl): UDC_stUTnkLvl	AVS: текущий уровень заполнения бака (UDC_UTnkLvl): UDC_stUTnkLvl
AVS: Füllstand der Druckleitung durch einen Kalibration übermittelten Wert überschrieben (SCRMon_flgFirstFillgFinshd)	AVS: уровень заполнения напорной магистрали перезаписан значением, переданным калибровкой (SCRMon_flgFirstFillgFinshd)
AVS: Kavitätsprüfung - Lernwert des Heizerstroms (UHC_CavChk): UHC_i- CavChkLrnThresAvrg_mp	AVS: проверка кавитации - обучаемое значение тока нагревателя (UHC_CavChk): UHC_i- CavChkLrnThresAvrg_mp
AVS: Langzeiterfassung der Dosiermenge (UDC_DosQnt): UDC_mRdcAg- DosQnt	AVS: долгосрочная фиксация дозируемого количества (UDC_DosQnt): UDC_mRdcAg- DosQnt
AVS: RFC_AvsSetEOLChkSuc Rücksetzung der EOL Check Success Status	AVS: RFC_AvsSetEOLChkSuc сброс статуса успешности проверки EOL
AVS: Rücksetzung auf NULL der EEPROM-Werte des PID88 ( SCRCtl_NonErrPID)	AVS: сброс в НОЛЬ значений EEPROM PID88 ( SCRCtl_NonErrPID)
AVS: Rücksetzung der Anlernwerte von Dosiermodul in der Werkstatt (DnoxSA_pSysNomDM)	AVS: сброс обучаемых значений дозирующего модуля в мастерской (DnoxSA_pSysNomDM)
AVS: Rücksetzung der Anlernwerte von Dosiermodul und Fördermodul in der Werkstatt (DnoxSA_pPMdlOffs)	AVS: сброс обучаемых значений дозирующего и подающего модулей в мастерской (DnoxSA_pPMdlOffs)
AVS: Rücksetzung der EEPROM gelernte Werte für die Förderpumpe Offset (UrSolnPmp_OffsClb)	AVS: сброс обученных значений EEPROM смещения подающего насоса (UrSolnPmp_OffsClb)
AVS: Zeitdauer Übertemperatur am Dosierventil (UDC_tiUDosVlvOvht): UDC_ tiUDosVlvOvh	AVS: длительность перегрева на дозирующем клапане (UDC_tiUDosVlvOvht): UDC_ tiUDosVlvOvh
AV_0_0_Bremsunterdruckmangel (HS)	AV_0_0_недостаток тормозного вакуума (HS)
AV_0_11_aktive Sicherheitsfunktionen	AV_0_11_активные функции безопасности
AV_0_12_Ausfall 24V Lenkung	AV_0_12_отказ рулевого управления 24В
AV_0_13_AV Stoppkoordinator	AV_0_13_AV координатор остановки
AV_0_14_StoKo: nicht kombinierbare Getriebezustände	AV_0_14_StoKo: несовместимые состояния коробки передач
AV_0_1_(Doppel-)Fehlerspeichereintrag in EPS	AV_0_1_(двойная) запись в памяти неисправностей EPS
