!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
43B0 Power Stage fault status for System lamp (nv)	43B0 Power stage fault status for system lamp (nv)
43B1 Power Stage fault status for System lamp (nv)	43B1 Power stage fault status for system lamp (nv)
43B2 Power Stage fault status for System lamp (nv)	43B2 Power stage fault status for system lamp (nv)
43B3 Power Stage fault status for System lamp (nv)	43B3 Power stage fault status for system lamp (nv)
43C0 (2622) Drosselklappensteller, Ansteuerung	43C0 (2622) Throttle valve actuator, drive
43D1 (2621) Drosselklappensteller, Ansteuerung	43D1 (2621) Throttle valve actuator, drive
43E2 (2620) Drosselklappensteller, Ansteuerung	43E2 (2620) Throttle valve actuator, drive
43E3 (0638) Drosselklappensteller, Ansteuerung	43E3 (0638) Throttle valve actuator, drive
43F0 Elektrischer Zuheizer, Ansteuerung	43F0 Electric auxiliary heater, drive
43F1 Elektrischer Zuheizer, Ansteuerung	43F1 Electric auxiliary heater, drive
43F2 Elektrischer Zuheizer, Ansteuerung	43F2 Electric auxiliary heater, drive
43F3 Elektrischer Zuheizer, Ansteuerung	43F3 Electric auxiliary heater, drive
44 km/h	44 km/h
4403 Steuergeraet intern 17	4403 Control unit internal 17
4410 Injektor Zylinder 1, Ansteuerung	4410 Injector cylinder 1, drive
4411 Injektor Zylinder 1, Ansteuerung	4411 Injector cylinder 1, drive
4412 Injektor Zylinder 1, Ansteuerung	4412 Injector cylinder 1, drive
4413 Injektor Zylinder 1, Ansteuerung	4413 Injector cylinder 1, drive
441A Injektor Zylinder 1, Ansteuerung	441A Injector cylinder 1, drive
441B Injektor Zylinder 1, Ansteuerung	441B Injector cylinder 1, drive
441C (0201) Injektor Zylinder 1, Ansteuerung	441C (0201) Injector cylinder 1, drive
441D Injektor Zylinder 1, Ansteuerung	441D Injector cylinder 1, drive
4420 Injektor Zylinder 2, Ansteuerung	4420 Injector cylinder 2, drive
4421 Injektor Zylinder 2, Ansteuerung	4421 Injector cylinder 2, drive
4422 Injektor Zylinder 2, Ansteuerung	4422 Injector cylinder 2, drive
4423 Injektor Zylinder 2, Ansteuerung	4423 Injector cylinder 2, drive
442A Injektor Zylinder 2, Ansteuerung	442A Injector cylinder 2, drive
442B Injektor Zylinder 2, Ansteuerung	442B Injector cylinder 2, drive
442C (0202) Injektor Zylinder 2, Ansteuerung	442C (0202) Injector cylinder 2, drive
442D Injektor Zylinder 2, Ansteuerung	442D Injector cylinder 2, drive
4430 Injektor Zylinder 3, Ansteuerung	4430 Injector cylinder 3, drive
4431 Injektor Zylinder 3, Ansteuerung	4431 Injector cylinder 3, drive
4432 Injektor Zylinder 3, Ansteuerung	4432 Injector cylinder 3, drive
4433 Injektor Zylinder 3, Ansteuerung	4433 Injector cylinder 3, drive
443A Injektor Zylinder 3, Ansteuerung	443A Injector cylinder 3, drive
443B Injektor Zylinder 3, Ansteuerung	443B Injector cylinder 3, drive
443C (0203) Injektor Zylinder 3, Ansteuerung	443C (0203) Injector cylinder 3, drive
443D Injektor Zylinder 3, Ansteuerung	443D Injector cylinder 3, drive
4440 Injektor Zylinder 4, Ansteuerung	4440 Injector cylinder 4, drive
4441 Injektor Zylinder 4, Ansteuerung	4441 Injector cylinder 4, drive
4442 Injektor Zylinder 4, Ansteuerung	4442 Injector cylinder 4, drive
4443 Injektor Zylinder 4, Ansteuerung	4443 Injector cylinder 4, drive
4445 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)	4445 Message (DREHMOMENT_ANF_AFS, 0xB9)
4446 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)	4446 Message (DREHMOMENT_ANF_AFS, 0xB9)
4447 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)	4447 Message (DREHMOMENT_ANF_AFS, 0xB9)
4448 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)	4448 Message (DREHMOMENT_ANF_AFS, 0xB9)
444A Injektor Zylinder 4, Ansteuerung	444A Injector cylinder 4, drive
444B Injektor Zylinder 4, Ansteuerung	444B Injector cylinder 4, drive
444C (0204) Injektor Zylinder 4, Ansteuerung	444C (0204) Injector cylinder 4, drive
444D Injektor Zylinder 4, Ansteuerung	444D Injector cylinder 4, drive
4450 Injektor Zylinder 5, Ansteuerung	4450 Injector cylinder 5, drive
4451 Injektor Zylinder 5, Ansteuerung	4451 Injector cylinder 5, drive
4452 Injektor Zylinder 5, Ansteuerung	4452 Injector cylinder 5, drive
4453 Injektor Zylinder 5, Ansteuerung	4453 Injector cylinder 5, drive
4457 Botschaft (LENKRADWINKEL, 0xC4)	4457 Message (LENKRADWINKEL, 0xC4)
4458 Botschaft (LENKRADWINKEL, 0xC4)	4458 Message (LENKRADWINKEL, 0xC4)
445A Injektor Zylinder 5, Ansteuerung	445A Injector cylinder 5, drive
445B Injektor Zylinder 5, Ansteuerung	445B Injector cylinder 5, drive
445C (0205) Injektor Zylinder 5, Ansteuerung	445C (0205) Injector cylinder 5, drive
445D Injektor Zylinder 5, Ansteuerung	445D Injector cylinder 5, drive
4460 Injektor Zylinder 6, Ansteuerung	4460 Injector cylinder 6, drive
4461 Injektor Zylinder 6, Ansteuerung	4461 Injector cylinder 6, drive
4462 Injektor Zylinder 6, Ansteuerung	4462 Injector cylinder 6, drive
4463 Injektor Zylinder 6, Ansteuerung	4463 Injector cylinder 6, drive
446A Injektor Zylinder 6, Ansteuerung	446A Injector cylinder 6, drive
446B Injektor Zylinder 6, Ansteuerung	446B Injector cylinder 6, drive
446C (0206) Injektor Zylinder 6, Ansteuerung	446C (0206) Injector cylinder 6, drive
446D Injektor Zylinder 6, Ansteuerung	446D Injector cylinder 6, drive
4473 Steuergeraet intern 18	4473 Control unit internal 18
4475 Intelligenter Batterie Sensor (DIBS1)	4475 Intelligent battery sensor (DIBS1)
4477 Intelligenter Batterie Sensor (DIBS1)	4477 Intelligent battery sensor (DIBS1)
4478 Intelligenter Batterie Sensor (DIBS1)	4478 Intelligent battery sensor (DIBS1)
448 °C	448 °C
4480 Steuergeraet intern 19	4480 Control unit internal 19
4485 Intelligenter Batterie Sensor (DIBS2)	4485 Intelligent battery sensor (DIBS2)
4487 Intelligenter Batterie Sensor (DIBS2)	4487 Intelligent battery sensor (DIBS2)
4488 Intelligenter Batterie Sensor (DIBS2)	4488 Intelligent battery sensor (DIBS2)
448° C	448° C
4491 Steuergeraet intern 20	4491 Control unit internal 20
4495 Intelligenter Batterie Sensor (DIBS3)	4495 Intelligent battery sensor (DIBS3)
4496 Intelligenter Batterie Sensor (DIBS3)	4496 Intelligent battery sensor (DIBS3)
4497 Intelligenter Batterie Sensor (DIBS3)	4497 Intelligent battery sensor (DIBS3)
44: OutOfRange_EmOdoClientEgoMotion_PositionX	44: OutOfRange_EmOdoClientEgoMotion_PositionX
44A0 Injektoren Bank 1, Ansteuerung	44A0 Injectors bank 1, actuation
44A1 Injektoren Bank 1, Ansteuerung	44A1 Injectors bank 1, actuation
44A2 Injektoren Bank 1, Ansteuerung	44A2 Injectors bank 1, actuation
44A3 Injektoren Bank 1, Ansteuerung	44A3 Injectors bank 1, actuation
44A5 Nullmengenadaption Injektor Zylinder 1	44A5 Zero delivery adaptation injector cylinder 1
44A6 Nullmengenadaption Injektor Zylinder 1	44A6 Zero delivery adaptation injector cylinder 1
44A7 Nullmengenadaption Injektor Zylinder 1	44A7 Zero delivery adaptation injector cylinder 1
44A8 Nullmengenadaption Injektor Zylinder 1	44A8 Zero delivery adaptation injector cylinder 1
44AA Injektoren Bank 1, Ansteuerung	44AA Injectors bank 1, actuation
44AB Injektoren Bank 1, Ansteuerung	44AB Injectors bank 1, actuation
44AC Injektoren Bank 1, Ansteuerung	44AC Injectors bank 1, actuation
44AD Injektoren Bank 1, Ansteuerung	44AD Injectors bank 1, actuation
44B0 Injektoren Bank 2, Ansteuerung	44B0 Injectors bank 2, actuation
44B1 Injektoren Bank 2, Ansteuerung	44B1 Injectors bank 2, actuation
44B2 Injektoren Bank 2, Ansteuerung	44B2 Injectors bank 2, actuation
44B3 Injektoren Bank 2, Ansteuerung	44B3 Injectors bank 2, actuation
44B5 Nullmengenadaption Injektor Zylinder 2	44B5 Zero delivery adaptation injector cylinder 2
44B6 Nullmengenadaption Injektor Zylinder 2	44B6 Zero delivery adaptation injector cylinder 2
44B7 Nullmengenadaption Injektor Zylinder 2	44B7 Zero delivery adaptation injector cylinder 2
44B8 Nullmengenadaption Injektor Zylinder 2	44B8 Zero delivery adaptation injector cylinder 2
44BA Injektoren Bank 2, Ansteuerung	44BA Injectors bank 2, actuation
44BB Injektoren Bank 2, Ansteuerung	44BB Injectors bank 2, actuation
44BC Injektoren Bank 2, Ansteuerung	44BC Injectors bank 2, actuation
44BD Injektoren Bank 2, Ansteuerung	44BD Injectors bank 2, actuation
44C0 Anzahl gewuenschter Einspritzungen begrenzt	44C0 Number of requested injections limited
44C1 Anzahl gewuenschter Einspritzungen begrenzt	44C1 Number of requested injections limited
44C2 Anzahl gewuenschter Einspritzungen begrenzt	44C2 Number of requested injections limited
44C5 Nullmengenadaption Injektor Zylinder 3	44C5 Zero delivery adaptation injector cylinder 3
44C6 Nullmengenadaption Injektor Zylinder 3	44C6 Zero delivery adaptation injector cylinder 3
44C7 Nullmengenadaption Injektor Zylinder 3	44C7 Zero delivery adaptation injector cylinder 3
44C8 Nullmengenadaption Injektor Zylinder 3	44C8 Zero delivery adaptation injector cylinder 3
44D0 Generator	44D0 Alternator
44D2 Generator	44D2 Alternator
44D3 Generator	44D3 Alternator
44D5 Nullmengenadaption Injektor Zylinder 4	44D5 Zero delivery adaptation injector cylinder 4
44D6 Nullmengenadaption Injektor Zylinder 4	44D6 Zero delivery adaptation injector cylinder 4
44D7 Nullmengenadaption Injektor Zylinder 4	44D7 Zero delivery adaptation injector cylinder 4
44D8 Nullmengenadaption Injektor Zylinder 4	44D8 Zero delivery adaptation injector cylinder 4
44E2 Generator	44E2 Alternator
44E3 Generator	44E3 Alternator
44E5 Nullmengenadaption Injektor Zylinder 5	44E5 Zero delivery adaptation injector cylinder 5
44E6 Nullmengenadaption Injektor Zylinder 5	44E6 Zero delivery adaptation injector cylinder 5
44E7 Nullmengenadaption Injektor Zylinder 5	44E7 Zero delivery adaptation injector cylinder 5
44E8 Nullmengenadaption Injektor Zylinder 5	44E8 Zero delivery adaptation injector cylinder 5
44F0 Raildruck-Plausibilitaet druckgeregelt (nv)	44F0 Rail pressure plausibility, pressure-controlled (nv)
44F5 Nullmengenadaption Injektor Zylinder 6	44F5 Zero delivery adaptation injector cylinder 6
44F6 Nullmengenadaption Injektor Zylinder 6	44F6 Zero delivery adaptation injector cylinder 6
44F7 Nullmengenadaption Injektor Zylinder 6	44F7 Zero delivery adaptation injector cylinder 6
44F8 Nullmengenadaption Injektor Zylinder 6	44F8 Zero delivery adaptation injector cylinder 6
4501 (0401) Abgasrueckfuehr-Regelung, Regelabweichung	4501 (0401) EGR control, control deviation
4507 (0402) Abgasrueckfuehr-Regelung, Regelabweichung	4507 (0402) EGR control, control deviation
4512 Thermischer Oelniveausensor, Signal	4512 Thermal oil level sensor, signal
4513 Thermischer Oelniveausensor, Signal	4513 Thermal oil level sensor, signal
4521 (1296) Ladedruckregelung, Regelabweichung	4521 (1296) Boost pressure control, control deviation
4530 (1297) Ladedruckregelung, Regelabweichung	4530 (1297) Boost pressure control, control deviation
4536 Powermanagement Batterie	4536 Power management battery
4538 Powermanagement Batterie	4538 Power management battery
4541 Thermischer Oelniveausensor	4541 Thermal oil level sensor
4545 Powermanagement Bordnetz	4545 Power management electrical system
4546 Powermanagement Bordnetz	4546 Power management electrical system
4547 Powermanagement Bordnetz	4547 Power management electrical system
4548 Powermanagement Bordnetz	4548 Power management electrical system
4560 (3002) Raildruck-Plausibilitaet mengengeregelt	4560 (3002) Rail pressure plausibility, quantity-controlled
4567 Botschaft (CODIERUNG_PM, 0x395)	4567 Message (CODIERUNG_PM, 0x395)
4568 Botschaft (CODIERUNG_PM, 0x395)	4568 Message (CODIERUNG_PM, 0x395)
4570 Raildruck-Plausibilitaet mengengeregelt	4570 Rail pressure plausibility, quantity-controlled
4577 Botschaft (CTR_CRASH_SWO_EKP, 0x135)	4577 Message (CTR_CRASH_SWO_EKP, 0x135)
4578 Botschaft (CTR_CRASH_SWO_EKP, 0x135)	4578 Message (CTR_CRASH_SWO_EKP, 0x135)
4580 (3003) Raildruck-Plausibilitaet mengengeregelt	4580 (3003) Rail pressure plausibility, quantity-controlled
4587 Kraftstofffilter	4587 Fuel filter
4590 Raildruck-Plausibilitaet mengengeregelt	4590 Rail pressure plausibility, quantity-controlled
4597 Botschaft (PRGG_CCTR, 0x331)	4597 Message (PRGG_CCTR, 0x331)
4598 Botschaft (PRGG_CCTR, 0x331)	4598 Message (PRGG_CCTR, 0x331)
45: OutOfRange_EmOdoClientEgoMotion_PositionY	45: OutOfRange_EmOdoClientEgoMotion_PositionY
45A0 (3004) Raildruck-Plausibilitaet mengengeregelt	45A0 (3004) Rail pressure plausibility, quantity-controlled
45C0 Raildruck-Plausibilitaet mengengeregelt (nv)	45C0 Rail pressure plausibility, quantity-controlled (nv)
45E3 Ueberwachung Master/Slave	45E3 Master/slave monitoring
45F2 Ueberwachung Master/Slave	45F2 Master/slave monitoring
45F3 Ueberwachung Master/Slave	45F3 Master/slave monitoring
45F5 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)	45F5 Message (DREHMOMENT_ANF_ACC, 0xB7)
45F6 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)	45F6 Message (DREHMOMENT_ANF_ACC, 0xB7)
45F7 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)	45F7 Message (DREHMOMENT_ANF_ACC, 0xB7)
45F8 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)	45F8 Message (DREHMOMENT_ANF_ACC, 0xB7)
4600 (3005) Raildruck-Plausibilitaet druckgeregelt	4600 (3005) Rail pressure plausibility, pressure-controlled
4605 Partikelfiltersystem	4605 Particulate filter system
4610 Raildruck-Plausibilitaet druckgeregelt	4610 Rail pressure plausibility, pressure-controlled
4618 Umgebungsdrucksensor (im Steuergeraet verbaut)	4618 Ambient pressure sensor (installed in control unit)
4620 (3006) Raildruck-Plausibilitaet druckgeregelt	4620 (3006) Rail pressure plausibility, pressure-controlled
4628 Partikelfiltersystem	4628 Particulate filter system
4630 Raildruck-Plausibilitaet druckgeregelt	4630 Rail pressure plausibility, pressure-controlled
4637 Botschaft (ParkConsumer, 0x?)	4637 Message (ParkConsumer, 0x?)
4638 Botschaft (ParkConsumer, 0x?)	4638 Message (ParkConsumer, 0x?)
464 °C	464 °C
4640 Raildruck-Plausibilitaet druckgeregelt	4640 Rail pressure plausibility, pressure-controlled
4645 Abgasrueckfuehrsteller	4645 EGR actuator
464° C	464° C
4650 Raildruck-Plausibilitaet druckgeregelt (nv)	4650 Rail pressure plausibility, pressure-controlled (nv)
4656 Steuergeraet intern 24	4656 Control unit internal 24
4660 Versorgungsspannung	4660 Supply voltage
4661 Versorgungsspannung	4661 Supply voltage
4665 Partikelfiltersystem	4665 Particulate filter system
4666 Partikelfiltersystem	4666 Particulate filter system
4667 Partikelfiltersystem	4667 Particulate filter system
4670 (0643) Speisespannung 1	4670 (0643) Supply voltage 1
4671 (0642) Speisespannung 1	4671 (0642) Supply voltage 1
4677 Drosselklappensteller	4677 Throttle valve actuator
4680 (0653) Speisespannung 2	4680 (0653) Supply voltage 2
4681 (0652) Speisespannung 2	4681 (0652) Supply voltage 2
4687 Drosselklappensteller	4687 Throttle valve actuator
4690 Speisespannung 3	4690 Supply voltage 3
4691 Speisespannung 3	4691 Supply voltage 3
4697 Drosselklappensteller	4697 Throttle valve actuator
46: OutOfRange_EmOdoClientEgoMotion_Yaw	46: OutOfRange_EmOdoClientEgoMotion_Yaw
46A0 Steuergeraet intern 1	46A0 Control unit internal 1
46A1 Steuergeraet intern 1	46A1 Control unit internal 1
46A2 Steuergeraet intern 1	46A2 Control unit internal 1
46A3 Steuergeraet intern 1	46A3 Control unit internal 1
46A7 Drallklappensteller	46A7 Swirl flap actuator
46B0 Steuergeraet intern 2	46B0 Control unit internal 2
46B1 Steuergeraet intern 2	46B1 Control unit internal 2
46B2 Steuergeraet intern 2	46B2 Control unit internal 2
46B3 Steuergeraet intern 2	46B3 Control unit internal 2
46B7 Drallklappensteller	46B7 Swirl flap actuator
46C0 Steuergeraet intern 3	46C0 Control unit internal 3
46C7 Drallklappensteller	46C7 Swirl flap actuator
46D0 Steuergeraet intern 4	46D0 Control unit internal 4
46D1 Steuergeraet intern 4	46D1 Control unit internal 4
46D2 Steuergeraet intern 4	46D2 Control unit internal 4
46D3 Steuergeraet intern 4	46D3 Control unit internal 4
46D5 Verdichter-Bypassklappe, Ansteuerung	46D5 Compressor bypass flap, actuation
46D6 Verdichter-Bypassklappe, Ansteuerung	46D6 Compressor bypass flap, actuation
46D7 Verdichter-Bypassklappe, Ansteuerung	46D7 Compressor bypass flap, actuation
46D8 Verdichter-Bypassklappe, Ansteuerung	46D8 Compressor bypass flap, actuation
46E5 Wastegate-Ventil, Ansteuerung	46E5 Wastegate valve, actuation
46F6 Wastegate-Ventil, Ansteuerung	46F6 Wastegate valve, actuation
47 km/h	47 km/h
4703 Steuergeraet intern 7	4703 Control unit internal 7
4707 Wastegate-Ventil, Ansteuerung	4707 Wastegate valve, actuation
4708 Wastegate-Ventil, Ansteuerung	4708 Wastegate valve, actuation
4711 Steuergeraet intern 8	4711 Control unit internal 8
4712 Steuergeraet intern 8	4712 Control unit internal 8
4713 Steuergeraet intern 8	4713 Control unit internal 8
4723 Steuergeraet intern 9	4723 Control unit internal 9
4730 Mengenregelventil Stromregelung	4730 Quantity control valve current control
4731 Mengenregelventil Stromregelung	4731 Quantity control valve current control
4732 Mengenregelventil Stromregelung	4732 Quantity control valve current control
4740 Steuergeraet intern 11	4740 Control unit internal 11
4750 Steuergeraet intern 12	4750 Control unit internal 12
4753 Steuergeraet intern 12	4753 Control unit internal 12
4763 Steuergeraet intern 13 (nv)	4763 Control unit internal 13 (nv)
4772 Steuergeraet intern 14	4772 Control unit internal 14
4773 Steuergeraet intern 14	4773 Control unit internal 14
4780 Steuergeraet intern 15	4780 Control unit internal 15
4781 Steuergeraet intern 15	4781 Control unit internal 15
4782 Steuergeraet intern 15	4782 Control unit internal 15
4783 Steuergeraet intern 15	4783 Control unit internal 15
4792 Ueberwachung Master/Slave	4792 Master/slave monitoring
4793 Ueberwachung Master/Slave	4793 Master/slave monitoring
47: OutOfRange_EmOdoClientEgoMotion_EventDataQualifier	47: OutOfRange_EmOdoClientEgoMotion_EventDataQualifier
47A0 MFC error path for Misfire cylinder 0 (nv)	47A0 MFC error path for Misfire cylinder 0 (nv)
47B0 MFC error path for Misfire cylinder 1 (nv)	47B0 MFC error path for Misfire cylinder 1 (nv)
47C0 MFC error path for Misfire cylinder 2 (nv)	47C0 MFC error path for Misfire cylinder 2 (nv)
47D0 MFC error path for Misfire cylinder 3 (nv)	47D0 MFC error path for Misfire cylinder 3 (nv)
47E0 MFC error path for Misfire cylinder 4 (nv)	47E0 MFC error path for Misfire cylinder 4 (nv)
47F0 MFC error path for Misfire cylinder 5 (nv)	47F0 MFC error path for Misfire cylinder 5 (nv)
47F7 Botschaft (STAT_SITZBELEGUNG_GURT, 0x2FA)	47F7 Message (STAT_SITZBELEGUNG_GURT, 0x2FA)
47F8 Botschaft (STAT_SITZBELEGUNG_GURT, 0x2FA)	47F8 Message (STAT_SITZBELEGUNG_GURT, 0x2FA)
48 °C	48 °C
480 °C	480 °C
4803 Drehmomentueberwachung ACC	4803 Torque monitoring ACC
480° C	480° C
4810 Drehmomenteingriff ACC	4810 Torque intervention ACC
4820 (1557) Klimaleistungsausgang, Ansteuerung	4820 (1557) A/C power output, actuation
4821 (1556) Klimaleistungsausgang, Ansteuerung	4821 (1556) A/C power output, actuation
4822 (1555) Klimaleistungsausgang, Ansteuerung	4822 (1555) A/C power output, actuation
4823 Klimaleistungsausgang, Ansteuerung	4823 A/C power output, actuation
4830 Ansauglufttemperatursensor	4830 Intake air temperature sensor
4831 Ansauglufttemperatursensor	4831 Intake air temperature sensor
4832 Ansauglufttemperatursensor	4832 Intake air temperature sensor
4841 (1491) Abgasrueckfuehr-Regelung 2, Regelabweichung	4841 (1491) EGR control 2, control deviation
4850 (1492) Abgasrueckfuehr-Regelung 2, Regelabweichung	4850 (1492) EGR control 2, control deviation
4857 Drallklappensteller	4857 Swirl flap actuator
4863 Fahrgeschwindigkeitsregelung	4863 Cruise control
4867 Drallklappensteller	4867 Swirl flap actuator
4870 Aussetzerkennung in mehreren Zylindern	4870 Misfire detection in multiple cylinders
4877 Drallklappensteller	4877 Swirl flap actuator
4880 Aussetzerkennung Zylinder 1	4880 Misfire detection cylinder 1
4887 Drallklappensteller	4887 Swirl flap actuator
4890 Aussetzerkennung Zylinder 2	4890 Misfire detection cylinder 2
4896 Drallklappensteller	4896 Swirl flap actuator
48: OutOfRange_OdometryAlignment_TimestampMax	48: OutOfRange_OdometryAlignment_TimestampMax
48A2 Botschaft (ASC1)	48A2 Message (ASC1)
48A3 Botschaft (ASC1)	48A3 Message (ASC1)
48A5 Botschaft (VEH_MOD, 0x315)	48A5 Message (VEH_MOD, 0x315)
48A6 Botschaft (VEH_MOD, 0x315)	48A6 Message (VEH_MOD, 0x315)
48A7 Botschaft (VEH_MOD, 0x315)	48A7 Message (VEH_MOD, 0x315)
48A8 Botschaft (VEH_MOD, 0x315)	48A8 Message (VEH_MOD, 0x315)
48B2 Botschaft (ASC2)	48B2 Message (ASC2)
48B3 Botschaft (ASC2)	48B3 Message (ASC2)
48C2 Botschaft (EGS1)	48C2 Message (EGS1)
48C3 Botschaft (EGS1)	48C3 Message (EGS1)
48D2 Botschaft (INSTR2)	48D2 Message (INSTR2)
48D3 Botschaft (INSTR2)	48D3 Message (INSTR2)
48E2 Botschaft (INSTR3)	48E2 Message (INSTR3)
48E3 Botschaft (INSTR3)	48E3 Message (INSTR3)
48F2 (3200) CAN Bus A	48F2 (3200) CAN bus A
48F3 (3201) CAN Bus A	48F3 (3201) CAN bus A
48° C	48° C
4900 Momenteneingriff DSC (nv)	4900 Torque intervention DSC (nv)
4912 (3200) CAN Bus B	4912 (3200) CAN Bus B
4913 (3201) CAN Bus B	4913 (3201) CAN Bus B
4920 Momenteneingriff Getriebe (nv)	4920 Torque intervention transmission (nv)
4930 Aussetzerkennung Zylinder 3	4930 Misfire detection cylinder 3
4940 Aussetzerkennung Zylinder 4	4940 Misfire detection cylinder 4
4950 Aussetzerkennung Zylinder 5	4950 Misfire detection cylinder 5
496 °C	496 °C
4960 Aussetzerkennung Zylinder 6	4960 Misfire detection cylinder 6
496° C	496° C
4991 Botschaft (STAT_KOMBI, 0x1B4)	4991 Message (STAT_KOMBI, 0x1B4)
4992 Botschaft (STAT_KOMBI, 0x1B4)	4992 Message (STAT_KOMBI, 0x1B4)
4993 Botschaft (STAT_KOMBI, 0x1B4)	4993 Message (STAT_KOMBI, 0x1B4)
49: OutOfRange_OdometryAlignment_EventDataQualifier	49: OutOfRange_OdometryAlignment_EventDataQualifier
49A2 Botschaft (A_TEMP_RELATIVZEIT, 0x310)	49A2 Message (A_TEMP_RELATIVZEIT, 0x310)
49A3 Botschaft (A_TEMP_RELATIVZEIT, 0x310)	49A3 Message (A_TEMP_RELATIVZEIT, 0x310)
49A7 Botschaft (RQ_STG_EFAN, 0x?)	49A7 Message (RQ_STG_EFAN, 0x?)
49A8 Botschaft (RQ_STG_EFAN, 0x?)	49A8 Message (RQ_STG_EFAN, 0x?)
49B7 Botschaft (STAT_EKP, 0x335)	49B7 Message (STAT_EKP, 0x335)
49B8 Botschaft (STAT_EKP, 0x335)	49B8 Message (STAT_EKP, 0x335)
49C5 Abgastemperatursensor vor Turbine, Signal	49C5 Exhaust gas temperature sensor upstream of turbine, signal
49C6 Abgastemperatursensor vor Turbine, Signal	49C6 Exhaust gas temperature sensor upstream of turbine, signal
49D7 Botschaft (ASC4)	49D7 Message (ASC4)
49D8 Botschaft (ASC4)	49D8 Message (ASC4)
49E7 Drosselklappensteller	49E7 Throttle valve actuator
49F2 Botschaft (WHEEL_SPEED, 0xCE)	49F2 Message (WHEEL_SPEED, 0xCE)
49F3 Botschaft (WHEEL_SPEED, 0xCE)	49F3 Message (WHEEL_SPEED, 0xCE)
49F7 Drallklappensteller	49F7 Swirl flap actuator
4: ComError_TemperatureInput	4: ComError_TemperatureInput
4: EmObjDesc_EM_Unavailable_GschwLngsFzgbwegg	4: EmObjDesc_EM_Unavailable_GschwLngsFzgbwegg
4: Error_ImplementationLevel	4: Error_ImplementationLevel
4: Invalid_ApplicationParameter	4: Invalid_ApplicationParameter
4: Invalid_CodingParameter	4: Invalid_CodingParameter
4: OutOfRange_FreeSpaceRadarLeftSegmentData_Distance	4: OutOfRange_FreeSpaceRadarLeftSegmentData_Distance
4: OutOfRange_QdmOdoBrechngPosAbsPosition_TimeStamp	4: OutOfRange_QdmOdoBrechngPosAbsPosition_TimeStamp
4: Unavailable_LaneBoundaries	4: Unavailable_LaneBoundaries
4: Unavailable_RoadBoundariesNonSensitiveInput	4: Unavailable_RoadBoundariesNonSensitiveInput
4: Unavailable_RoadBoundariesSensitiveInput	4: Unavailable_RoadBoundariesSensitiveInput
4: Unavailable_RoadGeometryInput	4: Unavailable_RoadGeometryInput
4A02 Klemme 15	4A02 Terminal 15
4A03 Klemme 15	4A03 Terminal 15
4A10 Bitserielle Datenschnittstelle BSD	4A10 Bit-serial data interface BSD
4A13 Bitserielle Datenschnittstelle BSD	4A13 Bit-serial data interface BSD
4A30 Multifunktionslenkrad, Signal	4A30 Multifunction steering wheel, signal
4A31 Multifunktionslenkrad, Signal	4A31 Multifunction steering wheel, signal
4A32 Multifunktionslenkrad, Signal	4A32 Multifunction steering wheel, signal
4A33 Multifunktionslenkrad, Signal	4A33 Multifunction steering wheel, signal
4A41 EWS Schnittstellenfehler	4A41 EWS interface fault
4A42 EWS Schnittstellenfehler	4A42 EWS interface fault
4A43 EWS Schnittstellenfehler	4A43 EWS interface fault
4A50 EWS EEPROM Wechselcodeablage fehlerhaft	4A50 EWS EEPROM rolling code storage faulty
4A51 EWS EEPROM Wechselcodeablage fehlerhaft	4A51 EWS EEPROM rolling code storage faulty
4A60 EWS Manipulation	4A60 EWS tampering
4A61 EWS Manipulation	4A61 EWS tampering
4A62 EWS Manipulation	4A62 EWS tampering
4A63 EWS Manipulation	4A63 EWS tampering
4A70 Kennfeld FMTC_trq2qBas_MAP falsch	4A70 Map FMTC_trq2qBas_MAP incorrect
4A80 Ladeluftschlauch-Ueberwachung	4A80 Charge air hose monitoring
4A92 Botschaft (ASC3)	4A92 Message (ASC3)
4A93 Botschaft (ASC3)	4A93 Message (ASC3)
4AA2 Botschaft (EGS2)	4AA2 Message (EGS2)
4AA3 Botschaft (EGS2)	4AA3 Message (EGS2)
4AB0 Elektrischer Zuheizer	4AB0 Electric auxiliary heater
4AB2 Elektrischer Zuheizer	4AB2 Electric auxiliary heater
4AC0 Elektrischer Zuheizer 2 (nv)	4AC0 Electric auxiliary heater 2 (nv)
4AC2 Elektrischer Zuheizer 2 (nv)	4AC2 Electric auxiliary heater 2 (nv)
4AD0 Elektrischer Zuheizer 3 (nv)	4AD0 Electric auxiliary heater 3 (nv)
4AD2 Elektrischer Zuheizer 3 (nv)	4AD2 Electric auxiliary heater 3 (nv)
4AD5 Nullmengenadaption Injektor Zylinder 1	4AD5 Zero-quantity adaptation injector cylinder 1
4AD6 Nullmengenadaption Injektor Zylinder 1	4AD6 Zero-quantity adaptation injector cylinder 1
